flat,park_dist,num_park_2km
782 PASIR RIS ST 71,0.2780759988173331,6
15 UPP BOON KENG RD,1.067147825851712,13
203 BEDOK NTH ST 1,0.7177656886875616,20
206C COMPASSVALE LANE,0.8709644744758799,3
430A FERNVALE LINK,0.7721174089561292,11
140 RIVERVALE ST,0.2504096415898822,3
534 JURONG WEST ST 52,0.9973777859888739,4
133 LOR AH SOO,0.4853072235665559,15
147 SIMEI ST 2,0.5062048455141775,11
419 BEDOK NTH ST 1,0.7971952147708569,18
832 YISHUN ST 81,0.5967141628954228,7
789 CHOA CHU KANG NTH 6,0.746173317189943,2
405 PASIR RIS DR 6,0.4495709733746325,7
913 HOUGANG ST 91,0.9979577090498308,15
573 PASIR RIS ST 53,0.5361766421924026,6
690 JURONG WEST CTRL 1,0.39159561969404333,6
507 PASIR RIS ST 52,0.26197957023199464,6
666 WOODLANDS RING RD,1.826620333045443,1
28 JLN BAHAGIA,0.8120300155760544,11
355A SEMBAWANG WAY,1.1776336119215995,3
360 YISHUN RING RD,0.5053003719869702,3
803 TAMPINES AVE 4,1.3861073359966987,4
779 WOODLANDS CRES,2.0613522602883565,0
652 HOUGANG AVE 8,0.4166839541103649,17
161 BT MERAH CTRL,0.8266457510823164,8
243 TAMPINES ST 21,0.632819488210052,7
134 GEYLANG EAST AVE 1,0.4549699843987318,11
426 CHOA CHU KANG AVE 4,1.3974872127046338,3
536 PASIR RIS DR 1,0.3072022951475442,7
912 HOUGANG ST 91,0.9889045222996744,15
665B JURONG WEST ST 64,0.5831918448331882,6
135 YISHUN ST 11,0.6908032259634661,7
402 BEDOK NTH AVE 3,1.166726374797195,21
523 JURONG WEST ST 52,0.7767074048467734,4
416 TAMPINES ST 41,0.3251539399005936,4
212 ANG MO KIO AVE 3,0.4892336179161042,26
891A WOODLANDS DR 50,1.238346967607632,2
874 TAMPINES ST 84,1.5243094405538693,2
7 BOON KENG RD,0.7122647684029978,10
431 HOUGANG AVE 6,0.6330167779226171,7
426 HOUGANG AVE 6,0.43711105863919886,9
579 WOODLANDS DR 16,1.9435775895049459,1
32 BEDOK STH AVE 2,0.4608670676278063,24
164 JLN TECK WHYE,0.5907699003088372,9
35 MARINE CRES,0.5595888023255426,12
562 ANG MO KIO AVE 3,0.7054825198304233,24
479 SEGAR RD,1.8198453957561456,2
232A SERANGOON AVE 2,0.346164409894789,21
133 EDGEDALE PLAINS,0.7773585599537696,2
78 BEDOK NTH RD,0.6831337370006672,22
14 REDHILL CL,0.7929165322043337,7
220 PETIR RD,0.1818242185187813,11
248 YISHUN AVE 9,0.8404035616948475,4
408 WOODLANDS ST 41,1.0139075159552557,3
41 JLN BAHAGIA,1.0354011486022452,10
984B BUANGKOK LINK,0.4775240449285261,17
864 TAMPINES ST 83,1.0787566298361462,3
487 ADMIRALTY LINK,1.5803080321522984,1
160 BT BATOK ST 11,1.8214792787804908,2
232 BISHAN ST 22,0.3981224144925604,20
618A PUNGGOL DR,0.34955782421657755,4
22 MARSILING DR,0.6829717423679417,4
211C COMPASSVALE LANE,0.872054004616068,3
