flat,mall,mall_dist,num_mall_2km
5 UPP ALJUNIED LANE,NEX,2.0764097600443,0
110 CLEMENTI ST 13,The Clementi Mall,1.0753023789545377,4
104 JURONG EAST ST 13,JCube,0.46757904995422334,6
347 WOODLANDS AVE 3,Marsiling Mall,0.20894853293457535,3
892 TAMPINES AVE 8,Our Tampines Hub,1.3684246972404548,4
335 UBI AVE 1,Singapore Post Centre (Singpost Centre),1.197320947524802,4
10 EUNOS CRES,Singapore Post Centre (Singpost Centre),0.9623053643257578,8
260 TAMPINES ST 21,Tampines 1,0.5530577518528403,6
391 TAMPINES AVE 7,Loyang Point,1.4067289427238139,6
107 PASIR RIS ST 12,Loyang Point,0.7964808609472649,3
151 SIMEI ST 1,Eastpoint Mall,0.5838349022287551,7
441 JURONG WEST AVE 1,Boon Lay Shopping Centre,1.036819679393571,2
9 REDHILL CL,Tiong Bahru Plaza,1.2081171939738484,6
375 HOUGANG ST 31,Heartland Mall,0.6308221644229824,6
82 MACPHERSON LANE,Paya Lebar Square,1.6908230723868662,3
927 HOUGANG ST 91,Hougang 1,0.17915598151753842,8
310C PUNGGOL WALK,Waterway Point,0.4469024895172364,2
285B TOH GUAN RD,Westgate,0.6374226250438135,5
355 TAMPINES ST 33,Loyang Point,1.3043015292028952,4
390 YISHUN AVE 6,Junction 9,0.8669011411822493,3
122 GEYLANG EAST CTRL,Paya Lebar Square,0.8506318663266518,5
410 TAMPINES ST 41,Tampines 1,0.5040300933717602,6
130 BT MERAH VIEW,Tiong Bahru Plaza,0.3746572409645016,3
517 CHOA CHU KANG ST 51,Limbang Shopping Centre,0.13375131118439507,7
18 TECK WHYE LANE,Teck Whye Shopping Centre,0.26347988122550625,11
570B WOODLANDS AVE 1,Causeway Point,0.7438356760638174,5
296 YISHUN ST 20,Junction 9,0.7272578696119192,4
210 BT BATOK ST 21,West Mall,0.5309819548555005,5
651 YISHUN AVE 4,Northpoint City,0.6246379458016262,3
520 JELAPANG RD,Greenridge Shopping Centre,0.11997600865789687,6
405B FERNVALE LANE,The Seletar Mall,0.37596481112796093,5
612 ELIAS RD,Elias Mall,0.4360176838417868,3
109A DEPOT RD,Alexandra Central,0.8467808500374487,5
206D COMPASSVALE LANE,Rivervale Plaza,0.5403889008638236,8
411B FERNVALE RD,The Seletar Mall,0.17496525751101824,5
786D WOODLANDS DR 60,Woodlands Mart,0.3300596139880864,3
104 BEDOK RESERVOIR RD,Singapore Post Centre (Singpost Centre),2.0398392657642006,0
10 JLN KUKOH,People's Park Complex,0.5014840152899224,27
538 JURONG WEST AVE 1,Boon Lay Shopping Centre,0.5212664490160251,4
352 TAMPINES ST 33,Loyang Point,1.3798045972195856,4
370 WOODLANDS AVE 1,Causeway Point,0.42100501441627636,5
314 TAMPINES ST 33,Eastpoint Mall,1.1565223250486092,6
808 TAMPINES AVE 4,Our Tampines Hub,0.9050420961674098,6
602 WOODLANDS DR 42,888 Plaza,0.1716757722196542,5
271C PUNGGOL WALK,Waterway Point,0.3056471899602828,5
37 TANGLIN HALT RD,Queensway Shopping Centre,1.2721731291035248,5
401 CHOA CHU KANG AVE 3,Sunshine Place,0.21514818283703402,5
301 JURONG EAST ST 32,JCube,1.3037074424140815,6
795A YISHUN RING RD,Wisteria Mall,0.9472318407435566,3
41 HOLLAND DR,The Star Vista,0.5658390793492629,2
633 VEERASAMY RD,Sim Lim Square,0.3755190978074996,28
5 BEDOK STH AVE 2,Bedok Point,0.3654553901437562,5
347B YISHUN AVE 11,Junction 9,0.6183063704821312,3
2A BOON TIONG RD,Tiong Bahru Plaza,0.6683151285450261,22
246 BISHAN ST 22,AMK Hub,1.1202845216221908,4
35 CIRCUIT RD,Paya Lebar Square,1.3687584438689315,4
252 HOUGANG AVE 3,Heartland Mall,0.8422048040190059,4
611 JURONG WEST ST 65,Pioneer Mall,0.5104560236615608,4
375 CLEMENTI AVE 4,The Clementi Mall,0.4070192730489554,5
192 PASIR RIS ST 12,Loyang Point,0.617124505548223,3
157 YISHUN ST 11,Northpoint City,0.5040953369470634,5
111 EDGEFIELD PLAINS,Rivervale Mall,0.546077964686487,6
23 BENDEMEER RD,Aperia,0.8931425207843909,6
34 CASSIA CRES,City Plaza,1.14780043205774,7
17 EUNOS CRES,Singapore Post Centre (Singpost Centre),1.182190174782248,4
761 CHOA CHU KANG NTH 5,Yew Tee Point,0.4642356852388584,8
248 JURONG EAST ST 24,Westgate,0.9356842738081423,5
771 WOODLANDS DR 60,Woodlands Mart,0.12562601839684434,4
6B BOON TIONG RD,Tiong Bahru Plaza,0.4081011422815791,19
5 SEMBAWANG RD,Broadway Plaza,2.0070254399910077,0
212 BT BATOK ST 21,West Mall,0.48603116874100033,4
140 BISHAN ST 12,Junction 8,0.7878562181189284,2
988B BUANGKOK GREEN,Hougang 1,0.5198265389821792,6
980B BUANGKOK CRES,Hougang 1,0.48623542782253426,7
860 TAMPINES AVE 5,Our Tampines Hub,0.4462162009768334,4
787 CHOA CHU KANG NTH 6,Yew Tee Point,0.18985228694112033,5
281 TAMPINES ST 22,Eastpoint Mall,0.510464892286511,7
183D RIVERVALE CRES,Rivervale Mall,0.4827023304331406,6
146 JLN BT MERAH,Tiong Bahru Plaza,1.0548526705633818,8
128 BT MERAH VIEW,Tiong Bahru Plaza,0.6005285741989193,3
695 JURONG WEST CTRL 1,Jurong Point,0.3536655039357276,5
803 CHAI CHEE RD,Bedok Mall,0.7622237194747589,4
798 WOODLANDS DR 72,Admiralty Place,0.4712705427541661,4
206 BT BATOK ST 21,West Mall,0.39099424749172823,5
352 YISHUN RING RD,Junction 9,0.8143759975932988,3
450 BT PANJANG RING RD,Fajar Shopping Centre,0.16639126469970755,5
195C PUNGGOL RD,Oasis Terraces,0.7438086835426507,6
424 SERANGOON CTRL,NEX,0.5003870698142894,3
407 SERANGOON AVE 1,NEX,0.40501707148562616,3
202B PUNGGOL FIELD,Rivervale Mall,0.7762597787647065,6
374 CLEMENTI AVE 4,The Clementi Mall,0.48291444722462773,5
727 CLEMENTI WEST ST 2,West Coast Plaza,0.2561463451671954,5
111 ANG MO KIO AVE 4,Broadway Plaza,1.008092863510435,3
889 TAMPINES ST 81,Our Tampines Hub,1.1460792736272514,4
603 HOUGANG AVE 4,Hougang Mall,0.8357149640354773,6
118D JLN MEMBINA,Tiong Bahru Plaza,0.42395087506764995,5
243 BISHAN ST 22,AMK Hub,1.0129247298075124,4
113 BT PURMEI RD,VivoCity,1.281161684015224,5
345 YISHUN AVE 11,Junction 9,0.5739066180645315,3
607 SENJA RD,Junction 10,0.26786220724139986,8
341 CLEMENTI AVE 5,The Clementi Mall,0.6433420495649655,5
436 TAMPINES ST 43,Tampines 1,0.9242864292737821,7
401 FAJAR RD,Fajar Shopping Centre,0.45948550802035915,7
