flat,hawker,hawker_dist,num_hawker_2km
128 POTONG PASIR AVE 1,Blk 210 Toa Payoh Lorong 8,1.354153326183051,3
180B RIVERVALE CRES,Market Street Food Centre,4.290779324233188,0
542 ANG MO KIO AVE 10,Blk 724 Ang Mo Kio Ave 6,1.0786126124432227,4
417 BT BATOK WEST AVE 4,Market Street Food Centre,2.3491028594099754,0
415 SERANGOON CTRL,Market Street Food Centre,1.647273658861266,4
270A SENGKANG CTRL,Market Street Food Centre,3.0851434410072196,0
214 BEDOK NTH ST 1,Blk 216 Bedok North Street 1,0.15656556909468378,7
127 SIMEI ST 1,Market Street Food Centre,1.0861548366865803,1
235 CHOA CHU KANG CTRL,Market Street Food Centre,4.189843592009068,0
788C WOODLANDS CRES,Blks 20/21 Marsiling Lane,2.7401589605545387,0
22 HAVELOCK RD,Beo Crescent Market,0.2681585619659974,13
474 TAMPINES ST 43,Market Street Food Centre,1.805215946391579,1
14 BEDOK STH AVE 2,Blk 16 Bedok South Road,0.11477594697315492,8
265 BOON LAY DR,Blk 505 Jurong West Street 52,1.3894781003091161,1
303 ANG MO KIO AVE 1,Blk 724 Ang Mo Kio Ave 6,0.6294321746152002,4
479 PASIR RIS DR 4,Blks 2 & 3 Changi Village Road,3.591495921169307,0
5 UPP ALJUNIED LANE,Blks 79/79A Circuit Road,0.9877423067904373,4
110 CLEMENTI ST 13,Blk 353 Clementi Ave 2,0.9361183804803054,3
104 JURONG EAST ST 13,Market Street Food Centre,0.7668800893061234,3
347 WOODLANDS AVE 3,Blks 20/21 Marsiling Lane,1.2454809450666187,4
892 TAMPINES AVE 8,Market Street Food Centre,1.7441687503636212,3
335 UBI AVE 1,Blk 4A Eunos Crescent,0.6521736242406763,8
10 EUNOS CRES,Blk 4A Eunos Crescent,0.28005555027788126,6
260 TAMPINES ST 21,Market Street Food Centre,1.1553197746257524,1
391 TAMPINES AVE 7,Market Street Food Centre,1.8431653430426183,1
107 PASIR RIS ST 12,Market Street Food Centre,2.8001061296799388,0
151 SIMEI ST 1,Market Street Food Centre,1.4111486414415233,1
441 JURONG WEST AVE 1,Blk 505 Jurong West Street 52,0.28481028598294944,3
