flat,supermarket_dist,num_supermarket_2km
146 JLN BT MERAH,0.796961607650806,21
128 BT MERAH VIEW,0.25249138097610374,16
695 JURONG WEST CTRL 1,0.3536655039357276,12
803 CHAI CHEE RD,0.19689883009093476,20
798 WOODLANDS DR 72,0.3999007261617327,17
206 BT BATOK ST 21,0.26190358560440236,19
352 YISHUN RING RD,0.28454127221290815,16
450 BT PANJANG RING RD,0.19760729904610275,8
195C PUNGGOL RD,0.299760443633055,15
424 SERANGOON CTRL,0.5012192610512723,14
407 SERANGOON AVE 1,0.38611871276305304,13
202B PUNGGOL FIELD,0.4771696227368135,17
374 CLEMENTI AVE 4,0.2811191958081924,13
727 CLEMENTI WEST ST 2,0.1803489577981114,10
111 ANG MO KIO AVE 4,0.3622729426060764,12
889 TAMPINES ST 81,0.3554251023081325,13
603 HOUGANG AVE 4,0.2043559027470107,19
118D JLN MEMBINA,0.11003287267366764,18
243 BISHAN ST 22,0.4374172033980384,16
113 BT PURMEI RD,0.8822164249351273,19
345 YISHUN AVE 11,0.256596322234296,17
607 SENJA RD,0.26786220724139986,13
341 CLEMENTI AVE 5,0.1621450994659712,14
436 TAMPINES ST 43,0.18949346941251072,18
401 FAJAR RD,0.41783166820722395,12
588A MONTREAL DR,0.7367752785211458,11
209 JURONG EAST ST 21,0.30723307699924685,17
621 WOODLANDS DR 52,0.4529178881541982,14
360B ADMIRALTY DR,0.18787973845874048,17
218 YISHUN ST 21,0.313994611299976,18
586 WOODLANDS DR 16,0.2512444871232266,9
53 KENT RD,0.3224763351066011,28
278 BISHAN ST 24,0.03523868756633609,15
3 HOLLAND CL,0.2679202381553565,12
431D YISHUN AVE 1,0.4858346180723128,13
475B UPP SERANGOON CRES,0.4554491154736145,13
530 BT BATOK ST 51,0.29001044336897797,14
22 JLN MEMBINA,0.20160512399713928,20
871 YISHUN ST 81,0.4183087665395636,12
631 JURONG WEST ST 65,0.3562950234203185,9
269A PUNGGOL FIELD,0.27111853174527556,19
118 LOR 1 TOA PAYOH,0.7635590719017917,14
349 YISHUN AVE 11,0.39829662200300053,16
405 BT BATOK WEST AVE 7,0.34284996274642676,13
301 CLEMENTI AVE 4,0.3272726753645816,10
2 EAST COAST RD,0.10950477714635946,14
682 RACE COURSE RD,0.1128840971357455,30
115 JURONG EAST ST 13,0.42594450395989153,19
602 YISHUN ST 61,0.38355501276037696,16
419 ANG MO KIO AVE 10,0.1319194215360591,16
989B JURONG WEST ST 93,0.3044048002374628,8
299A TAMPINES ST 22,0.3694450123183083,12
628 YISHUN ST 61,0.21760438173846633,16
211A COMPASSVALE LANE,0.318078203891721,16
272A PUNGGOL WALK,0.11436149957461146,18
303A ANCHORVALE LINK,0.2646427428455933,17
119 ANG MO KIO AVE 3,0.15890658673942856,12
705 WOODLANDS DR 40,0.30629935746575293,14
101 C'WEALTH CRES,0.6174175646012784,13
270 TAMPINES ST 21,0.1496841117725399,16
305 UBI AVE 1,0.07075432063326283,19
276 CHOA CHU KANG AVE 2,0.2354969200086512,13
4 TECK WHYE AVE,0.15853317297593936,16
9 TOH YI DR,0.4443453259924658,8
112 SERANGOON NTH AVE 1,0.17414128211055177,17
804 KING GEORGE'S AVE,0.05584451852801089,28
829 YISHUN ST 81,0.24618571227078817,13
