,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,704 ANG MO KIO AVENUE 8 HDB-ANG MO KIO SINGAPORE 560704,704,HDB-ANG MO KIO,1.370407121,103.8472307,103.8472307,560704,ANG MO KIO AVENUE 8,HDB-ANG MO KIO,29548.25217,39158.17688,704 ANG MO KIO AVE 8
0,674A JURONG WEST STREET 65 HDB-JURONG WEST SINGAPORE 641674,674A,HDB-JURONG WEST,1.3444613369999998,103.7023153,103.7023153,641674,JURONG WEST STREET 65,HDB-JURONG WEST,13420.75424,36289.611110000005,674A JURONG WEST ST 65
0,393 YISHUN AVENUE 6 HDB-YISHUN SINGAPORE 760393,393,HDB-YISHUN,1.42851535,103.8485037,103.8485037,760393,YISHUN AVENUE 6,HDB-YISHUN,29689.880510000003,45583.49183,393 YISHUN AVE 6
0,58 COMMONWEALTH DRIVE COMMONWEALTH GREEN SINGAPORE 140058,58,COMMONWEALTH GREEN,1.297769693,103.79709009999999,103.79709009999999,140058,COMMONWEALTH DRIVE,COMMONWEALTH GREEN,23968.09594,31126.326589999997,58 C'WEALTH DR
0,689C WOODLANDS DRIVE 75 HDB-WOODLANDS SINGAPORE 733689,689C,HDB-WOODLANDS,1.444812046,103.8084061,103.8084061,733689,WOODLANDS DRIVE 75,HDB-WOODLANDS,25227.63061,47385.50819,689C WOODLANDS DR 75
0,53 HAVELOCK ROAD HAVELOCK VIEW SINGAPORE 161053,53,HAVELOCK VIEW,1.289336654,103.8289203,103.8289203,161053,HAVELOCK ROAD,HAVELOCK VIEW,27510.51398,30193.81614,53 HAVELOCK RD
0,67 KALLANG BAHRU GEYLANG BAHRU VILLE SINGAPORE 330067,67,GEYLANG BAHRU VILLE,1.3213944640000002,103.8693362,103.8693362,330067,KALLANG BAHRU,GEYLANG BAHRU VILLE,32008.401560000002,33738.63238,67 KALLANG BAHRU
0,63 NEW UPPER CHANGI ROAD HDB-BEDOK SINGAPORE 461063,63,HDB-BEDOK,1.323784101,103.939939,103.939939,461063,NEW UPPER CHANGI ROAD,HDB-BEDOK,39865.78592,34003.09214,63 NEW UPP CHANGI RD
0,24 TIONG BAHRU ROAD HDB-BUKIT MERAH SINGAPORE 164024,24,HDB-BUKIT MERAH,1.285726545,103.8312705,103.8312705,164024,TIONG BAHRU ROAD,HDB-BUKIT MERAH,27772.065110000003,29794.62865,24 TIONG BAHRU RD
0,322 HOUGANG AVENUE 5 HDB-HOUGANG SINGAPORE 530322,322,HDB-HOUGANG,1.367098554,103.8969787,103.8969787,530322,HOUGANG AVENUE 5,HDB-HOUGANG,35084.60772,38792.42171,322 HOUGANG AVE 5
1,322 HOUGANG AVENUE 5 DBS HOUGANG AVENUE 5-322 SINGAPORE 530322,322,DBS HOUGANG AVENUE 5-322,1.367098554,103.8969787,103.8969787,530322,HOUGANG AVENUE 5,DBS HOUGANG AVENUE 5-322,35084.60769,38792.42171,322 HOUGANG AVE 5
0,467A ADMIRALTY DRIVE BLUE RIVERVIEW SINGAPORE 751467,467A,BLUE RIVERVIEW,1.4520103340000001,103.813929,103.813929,751467,ADMIRALTY DRIVE,BLUE RIVERVIEW,25842.25398,48181.4528,467A ADMIRALTY DR
0,101 BEDOK NORTH AVENUE 4 PEARL GARDEN SINGAPORE 460101,101,PEARL GARDEN,1.3344846670000001,103.9379247,103.9379247,460101,BEDOK NORTH AVENUE 4,PEARL GARDEN,39641.57063,35186.29828,101 BEDOK NTH AVE 4
0,3 JALAN BATU DI TANJONG RHU SINGAPORE 431003,3,DI TANJONG RHU,1.302883932,103.88393420000001,103.88393420000001,431003,JALAN BATU,DI TANJONG RHU,33633.06216,31691.860380000002,3 JLN BATU
0,26 CHAI CHEE ROAD ANSAR GARDEN SINGAPORE 460026,26,ANSAR GARDEN,1.3233116120000001,103.9236205,103.9236205,460026,CHAI CHEE ROAD,ANSAR GARDEN,38049.701030000004,33950.774560000005,26 CHAI CHEE RD
0,570 PASIR RIS STREET 53 HDB-PASIR RIS SINGAPORE 510570,570,HDB-PASIR RIS,1.3727690559999999,103.9465105,103.9465105,510570,PASIR RIS STREET 53,HDB-PASIR RIS,40596.87768,39419.6412,570 PASIR RIS ST 53
1,570 PASIR RIS STREET 53 HDB PUBLIC SHELTERS SINGAPORE 510570,570,HDB PUBLIC SHELTERS,1.3727704109999999,103.9465108,103.9465108,510570,PASIR RIS STREET 53,HDB PUBLIC SHELTERS,40596.91176,39419.790960000006,570 PASIR RIS ST 53
2,570 PASIR RIS STREET 53 AL - AMIN PRESCHOOL (PASIR RIS) SINGAPORE 510570,570,AL - AMIN PRESCHOOL (PASIR RIS),1.3727690469999998,103.9465105,103.9465105,510570,PASIR RIS STREET 53,AL - AMIN PRESCHOOL (PASIR RIS),40596.877889999996,39419.6402,570 PASIR RIS ST 53
0,509 WOODLANDS DRIVE 14 HDB-WOODLANDS SINGAPORE 730509,509,HDB-WOODLANDS,1.432719712,103.7891156,103.7891156,730509,WOODLANDS DRIVE 14,HDB-WOODLANDS,23080.8758,46048.43091,509 WOODLANDS DR 14
0,684C JURONG WEST STREET 64 HDB-JURONG WEST SINGAPORE 643684,684C,HDB-JURONG WEST,1.3435865919999999,103.704503,103.704503,643684,JURONG WEST STREET 64,HDB-JURONG WEST,13664.2161,36192.87309,684C JURONG WEST ST 64
0,758 YISHUN STREET 72 HDB-YISHUN SINGAPORE 760758,758,HDB-YISHUN,1.4260295269999999,103.8342661,103.8342661,760758,YISHUN STREET 72,HDB-YISHUN,28105.4437,45308.616460000005,758 YISHUN ST 72
0,273C JURONG WEST AVENUE 3 WENYA SINGAPORE 643273,273C,WENYA,1.351832419,103.7040078,103.7040078,643273,JURONG WEST AVENUE 3,WENYA,13609.154040000001,37104.65978,273C JURONG WEST AVE 3
0,4 TOH YI DRIVE TOH YI GARDENS SINGAPORE 590004,4,TOH YI GARDENS,1.3385120670000001,103.7745698,103.7745698,590004,TOH YI DRIVE,TOH YI GARDENS,21461.88987,35631.45848,4 TOH YI DR
0,172 YISHUN AVENUE 7 HDB-YISHUN SINGAPORE 760172,172,HDB-YISHUN,1.43660111,103.831091,103.831091,760172,YISHUN AVENUE 7,HDB-YISHUN,27752.099189999997,46477.569019999995,172 YISHUN AVE 7
0,440 HOUGANG AVENUE 8 HDB-HOUGANG SINGAPORE 530440,440,HDB-HOUGANG,1.379131967,103.8935308,103.8935308,530440,HOUGANG AVENUE 8,HDB-HOUGANG,34700.862989999994,40123.00615,440 HOUGANG AVE 8
1,440 HOUGANG AVENUE 8 HDB PUBLIC SHELTERS SINGAPORE 530440,440,HDB PUBLIC SHELTERS,1.379133292,103.89352790000001,103.89352790000001,530440,HOUGANG AVENUE 8,HDB PUBLIC SHELTERS,34700.54006,40123.15274,440 HOUGANG AVE 8
