flat,school,school_dist,num_school_2km
246 JURONG EAST ST 24,Yuhua Primary School,0.15486182014377792,6
128 POTONG PASIR AVE 1,Cedar Primary School,1.0838583965802329,10
180B RIVERVALE CRES,Mee Toh School,0.5512370843805198,13
542 ANG MO KIO AVE 10,Jing Shan Primary School,0.5511240616874978,7
417 BT BATOK WEST AVE 4,Dazhong Primary School,0.46426127832246517,4
415 SERANGOON CTRL,Yangzheng Primary School,0.6890486814411053,7
270A SENGKANG CTRL,North Vista Primary School,0.3627463921335494,17
214 BEDOK NTH ST 1,Fengshan Primary School,0.4966064264309893,8
127 SIMEI ST 1,Angsana Primary School,0.3671855139007019,9
235 CHOA CHU KANG CTRL,South View Primary School,0.273687436567818,8
788C WOODLANDS CRES,Admiralty Primary School,0.232320513826016,10
22 HAVELOCK RD,Zhangde Primary School,0.5427853646359572,8
474 TAMPINES ST 43,Tampines North Primary School,0.4380070203293502,13
14 BEDOK STH AVE 2,Bedok Green Primary School,0.3391529673826023,7
265 BOON LAY DR,Corporation Primary School,0.6511855602838902,10
303 ANG MO KIO AVE 1,Teck Ghee Primary School,0.6626288407582661,9
479 PASIR RIS DR 4,Casuarina Primary School,0.3394004822830532,5
5 UPP ALJUNIED LANE,Cedar Primary School,0.534125604094595,5
110 CLEMENTI ST 13,Pei Tong Primary School,0.8277096700536437,7
104 JURONG EAST ST 13,Fuhua Primary School,0.10801592155845036,4
347 WOODLANDS AVE 3,Si Ling Primary School,0.46860102098065676,9
892 TAMPINES AVE 8,Junyuan Primary School,1.1644799299671627,6
335 UBI AVE 1,Eunos Primary School,0.25100624627465645,5
10 EUNOS CRES,Eunos Primary School,0.29649286888782295,6
260 TAMPINES ST 21,Gongshang Primary School,0.3292832357114748,11
391 TAMPINES AVE 7,East Spring Primary School,0.514818548200766,11
107 PASIR RIS ST 12,White Sands Primary School,0.44063455275603064,9
151 SIMEI ST 1,Angsana Primary School,0.6962978482334269,9
441 JURONG WEST AVE 1,Shuqun Primary School,0.43571331416108094,6
9 REDHILL CL,Gan Eng Seng Primary School,0.17292141772624406,8
375 HOUGANG ST 31,Xinghua Primary School,0.5754817857234138,10
82 MACPHERSON LANE,Canossa Catholic Primary School,0.7695641761291617,7
927 HOUGANG ST 91,Hougang Primary School,0.16339322313848714,14
310C PUNGGOL WALK,Punggol Cove Primary School,0.22941135058574827,11
285B TOH GUAN RD,Yuhua Primary School,0.831918208449636,7
355 TAMPINES ST 33,East Spring Primary School,0.22328448991467031,9
390 YISHUN AVE 6,North View Primary School,0.14041865526266334,9
122 GEYLANG EAST CTRL,Geylang Methodist School (Primary),0.12042039638897782,3
410 TAMPINES ST 41,Gongshang Primary School,0.34901141028162924,12
130 BT MERAH VIEW,Zhangde Primary School,0.19931007343052054,8
517 CHOA CHU KANG ST 51,De La Salle School,0.44670504760077406,8
18 TECK WHYE LANE,Teck Whye Primary School,0.5832974572524419,10
570B WOODLANDS AVE 1,Innova Primary School,0.20812638146488813,11
