flat,school,school_dist,num_school_2km,hawker,hawker_dist,num_hawker_2km,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_dhoby
797 WOODLANDS DR 72,Admiralty Primary School,0.343840795481233,11,Blks 20/21 Marsiling Lane,2.8753533064880057,0,2.33641336312937,0,Admiralty Place,0.4402889995052517,4,ADMIRALTY MRT STATION,0.409112770369565,4,0.4092684987296868,18,16.639071636304987
1 CHAI CHEE RD,Damai Primary School,0.8320688737303815,8,Blk 538 Bedok North Street 3,0.4985054231233243,6,0.6738139117012533,16,Djitsun Mall,0.7953549771123795,4,BEDOK NORTH MRT STATION,0.9174062679765166,5,0.3996888120639403,20,9.181609685424922
274 BANGKIT RD,Zhenghua Primary School,0.7256661360634105,7,Bukit Timah Market,4.155357537974346,0,0.5690664950433998,10,Fajar Shopping Centre,0.8832219134553964,6,BANGKIT LRT STATION,0.4181508684676496,13,0.2994153495263865,9,11.621802761568159
201 BISHAN ST 23,Catholic High School (Primary),0.3135164450380584,13,Blk 320 Shunfu Road,1.1540350796786087,5,0.5063622834629025,19,Junction 8,0.56583902807851,4,BISHAN MRT STATION,0.4825427538690011,6,0.4249332917338765,15,6.168299800487727
307 ANG MO KIO AVE 1,Ang Mo Kio Primary School,0.6927400766674322,9,Blk 724 Ang Mo Kio Ave 6,0.7249981679947307,4,0.5925089930178945,25,AMK Hub,0.585988551942664,3,ANG MO KIO MRT STATION,0.7169981014390812,5,0.3203337255227216,17,7.3730676177513015
658C JURONG WEST ST 65,Frontier Primary School,0.0914221460353222,10,Taman Jurong Market & Food Centre,2.35516079305828,0,0.8333904700104028,5,Pioneer Mall,0.6499883566373893,4,PIONEER MRT STATION,0.3564314595405895,2,0.5459949676462473,8,16.64183592773427
541 ANG MO KIO AVE 10,Jing Shan Primary School,0.4797716073709938,7,Blk 724 Ang Mo Kio Ave 6,1.0307534372134954,4,0.6999186388882802,26,AMK Hub,0.9398073791864796,2,ANG MO KIO MRT STATION,0.8065869966354908,2,0.2324418169926252,14,8.330284035477161
546 ANG MO KIO AVE 10,Jing Shan Primary School,0.6116638219402213,7,Blk 724 Ang Mo Kio Ave 6,1.1798468531361306,4,0.8234028362127601,27,AMK Hub,1.061245396124883,2,ANG MO KIO MRT STATION,0.9272947932958155,2,0.3573603182459641,14,8.323626609447418
341 BT BATOK ST 34,Dazhong Primary School,0.4287288905539851,5,Market Street Food Centre,2.4762922671266163,0,0.9768054286264662,10,West Mall,1.3950226266200816,4,BUKIT GOMBAK MRT STATION,0.5423229772200029,6,0.3340883060541454,15,12.796247430558877
320B ANCHORVALE DR,Nan Chiau Primary School,0.0908606818411456,18,Market Street Food Centre,3.5944587427315597,0,1.158450386332649,4,Compass One,0.4734306489126604,6,RENJONG LRT STATION,0.5016275350701708,19,0.6073835351487934,13,11.359043495230607
